id,name_zh,name_en,lat,lon,open_date,close_date,open_dates_raw,close_dates_raw
Q15914084,祝山車站,Zhushan Station,23.5094,120.823,1986-01-01,,1986-01-13,
Q15914300,进贤站,Jinxian Railway Station,28.3609,116.081,1935-01-01,,1935-01-01,
Q15914506,长葛站,Changge railway station,34.217778055,113.7725,1904-01-01,,1904-01-01,
Q15914854,东乡站,Dongxiang Railway Station,28.2264,116.627,,,,
Q15915391,马庄站,Mazhuang Railway Station,32.89527778,114.03736111,,,,
Q15916087,武汉东站,Wuhandong Railway Station,30.4861,114.425,1971-01-01,,1971-01-01,
Q15916275,灵宝站,Lingbao railway station,34.5112,110.8927,1927-01-01,,1927-01-01,
Q15916328,郓城站,Yuncheng Railway Station,35.60194444,115.895,1996-01-01,,1996-01-01,
Q15916511,襄阳站,Xiangyang Railway Station,32.059597809,112.149162131,1960-01-01,,1960-01-01,
Q15916583,竹崎車站,Zhuqi Station,23.5258,120.554,1912-01-01,,1912-10-01,
Q15916787,牛栏山站,Niulanshan Railway Station,40.202106,116.641958,1938-01-01,,1938-01-01,
Q15916843,蔡家沟站,Caijiagou Railway Station,45.118071995,126.130931382,,,,
Q15917009,五里墩站,Wulidun Railway Station,27.81,113.20888889,,,,
Q15917036,鹰潭南站,Yingtannan Railway Station,28.222975,117.032881,,,,
Q15917120,滨海西站,Binhai West railway station,39.080109,117.605124,2013-01-01,,2013-12-01,
Q15917197,温家圳站,Wenjiazhen Railway Station,28.359954,116.106171,,,,
Q15917809,观音堂站,Guanyintang Railway Station,34.7195,111.5687,,,,
Q8070601,肇东站,Zhaodong railway station,46.0757,125.9931,,,,
Q8070610,肇庆站,Zhaoqing railway station,23.0847101,112.4458361,1989-01-01,,1989-01-01,
Q8070777,郑州东站,Zhengzhou East railway station,34.7601,113.773,2012-01-01,,2012-09-28,
Q8070941,中华门站,Zhonghuamen Railway Station,32.0083,118.773,,,,
Q8070960,中山北站,Zhongshanbei Railway Station,22.56071,113.37706,,,,
Q8070961,中山站,Zhongshan railway station,22.5467,113.428,2011-01-01,,2011-01-07,
Q8070984,中兴站,Zhongxing railway station,40.529861,124.048,1943-01-01,,1943-01-01,
Q8071093,周士庄站,Zhoushizhuang railway station,40.1158,113.466,,,,
Q8071199,庄桥站,Zhuangqiao railway station,29.928744444,121.532141666,2013-01-01,,2013-07-01,
Q8071212,珠海站,Zhuhai railway station,22.21796,113.54388,2012-01-01,,2012-12-31,
Q8071213,珠海北站,Zhuhai North railway station,22.40373,113.54687,2011-01-01,,2011-01-07,
Q8071218,诸暨站,Zhuji railway station,29.7289,120.181,1931-01-01,,1931-01-01,
Q8071222,追分車站,Zhuifen railway station,24.1203,120.571,1922-01-01,,1922-10-11,
Q24832739,杭州西站,Hangzhou West Railway Station,30.300484,119.981721,2022-01-01,,2022-09-22,
Q24833029,靖边站,Jingbian Railway Station,37.618817,108.750905,,,,
Q24833055,蛟河西站,Jiaohexi Railway Station,43.72680556,127.29322222,,,,
Q24833082,鼎湖东站,Dinghudong Railway Station,23.2166847,112.654978,,,,
